title,media,date,datetime,desc,link,img,Category
Facebook Apologizes For Embarrassing Mistake Caused By AI,Forbes,1 hour ago,2021-09-04 20:13:47.921623,"Last week at the Paralympics in Tokyo, Toyota self-driving pods injured a ... “It shows that autonomous vehicles are not yet realistic for normal roads,” he ...",https://www.forbes.com/sites/edwardsegal/2021/09/04/facebook-apologizes-for-embarassing-mistake-caused-by-ai/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
EVs In 60ish Seconds: This Week's Interesting EV News ...,InsideEVs,3 hours ago,2021-09-04 18:13:47.923740,"... on helping electric and autonomous vehicle companies hire the best talent. ... its mail delivery fleet, including deploying electric delivery vehicles.",https://insideevs.com/news/530973/electric-car-news-weekly/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
Why Cupertino Could Get Its Act Together With Its 'Apple Car ...,Benzinga,4 hours ago,2021-09-04 17:13:47.925727,"Apple, Inc. (NASDAQ:AAPL) Car rumors resurfaced this week after Digitimes reported ... important as the market transitions to electric, autonomous vehicles, ...",https://www.benzinga.com/analyst-ratings/analyst-color/21/09/22809395/why-cupertino-could-get-its-act-together-with-its-apple-car-project,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
This Is Why Tesla Is Offering Its Self-Driving Tech To Rivals,HotCars,6 hours ago,2021-09-04 15:13:47.927648,"Tesla has always been miles ahead of the competition when we talk about autonomous driving. Currently, Tesla Autopilot is a combination of super-advanced ...",https://www.hotcars.com/this-is-why-tesla-is-offering-its-selfdriving-tech-to-rivals-/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
Expo 2020 Dubai to drive the future of transport,Khaleej Times,6 hours ago,2021-09-04 15:13:47.929540,"The Expo will be shaping and driving future mobility trends and help ... With smart cities, robots and autonomous vehicles, Alif offers an insight into how ...",https://www.khaleejtimes.com/uae/expo-2020-dubai/expo-2020-dubai-to-drive-the-future-of-transport,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
Hyundai reveals Ioniq 5-based robotaxi,WhichCar,7 hours ago,2021-09-04 14:13:47.931454,"Developed in partnership with Motional, a driverless tech firm based in the US, the taxi will offer Level 4 autonomous driving capabilities – allowing the ...",https://www.whichcar.com.au/car-news/hyundai-ioniq-5-robotaxi,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
I'm a Lyft Driver. My Passengers Act Like I'm Part of the App,WIRED,8 hours ago,2021-09-04 13:13:47.933340,"When riders come into my car, it's as if the human behind the wheel disappears. ... In the future, ride-hailing passengers may conjure autonomous vehicles to ...",https://www.wired.com/story/im-a-lyft-driver-my-passengers-act-like-im-part-of-the-app,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
Car Hacking Danger Is Likely Closer Than You Think,Car and Driver,9 hours ago,2021-09-04 12:13:47.935228,"It is impossible to remotely hack into an unconnected car. ... back in 2015 now work for Cruise, the autonomous-vehicle subsidiary of General Motors.",https://www.caranddriver.com/news/a37453835/car-hacking-danger-is-likely-closer-than-you-think/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
2 Steps to Invest in Autonomous Trucking Tech,California News Times,9 hours ago,2021-09-04 12:13:47.937112,Self-driving software. 5G network communication connection. semiconductor. And a LiDAR (light detection and ranging) sensor … Autonomous truck technology has ...,https://californianewstimes.com/2-steps-to-invest-in-autonomous-trucking-tech/511486/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
"Apple taps Mercedes engineers for 'special project', likely ...",iMore,10 hours ago,2021-09-04 11:13:47.939022,"Apple taps Mercedes engineers for 'special project', likely Apple Car ... plans to release its own autonomous electric vehicle to rival cars like Tesla, ...",https://www.imore.com/apple-taps-mercedes-engineers-special-projects-likely-apple-car,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Autonomous vehicles
